window_start,window_end,dataset_split,days_with_data,total_intake_kcal,total_workout_kcal,observed_deficit_kcal,lbm_avg_kg,fm_start_kg,fm_end_kg,delta_fm_kg,lbm_start_kg,lbm_end_kg,delta_lbm_kg,avg_daily_workout_kcal,y_deficit,days
2024-01-08,2024-01-21 00:00:00,TRAIN,11,18659.00,576,4402.125,74.29,20.530,20.075,-0.455,73.77,73.59,-0.180,52,22485,14
2024-01-22,2024-02-04 00:00:00,TRAIN,14,25938.00,6927,-2138.175,74.35,20.065,20.286,0.221,73.56,74.02,0.460,495,16873,14
2024-01-29,2024-02-11 00:00:00,TRAIN,14,22269.00,6110,-1006.200,74.27,20.252,20.356,0.104,74.78,74.13,-0.649,436,15153,14
2024-02-26,2024-03-10 00:00:00,TRAIN,14,25798.00,6354,2438.100,74.58,20.504,20.252,-0.252,75.30,75.96,0.660,454,21882,14
2024-03-11,2024-03-24 00:00:00,TRAIN,14,22837.00,4833,532.125,74.60,20.350,20.295,-0.055,75.22,75.91,0.690,345,18536,14
2024-07-22,2024-08-04 00:00:00,TRAIN,13,20963.00,6150,-4353.750,72.37,19.783,20.233,0.450,74.56,73.80,-0.767,473,10459,14
2024-07-29,2024-08-11 00:00:00,TRAIN,13,18943.00,6882,-4121.550,71.93,20.212,20.638,0.426,72.28,72.12,-0.153,529,7939,14
2024-10-14,2024-10-27 00:00:00,TRAIN,11,12748.00,3606,2612.250,71.78,20.086,19.816,-0.270,72.81,73.35,0.542,328,11754,14
2025-02-10,2025-02-23 00:00:00,TEST,10,13877.00,2386,1847.925,72.77,20.505,20.314,-0.191,74.02,74.17,0.145,239,13339,14
2025-02-24,2025-03-09 00:00:00,TEST,13,14625.00,2222,561.150,71.99,20.246,20.188,-0.058,73.01,72.71,-0.305,171,12964,14
2025-04-14,2025-04-27 00:00:00,TEST,12,16592.00,1874,-7875.450,73.39,19.863,20.677,0.814,73.26,73.17,-0.089,156,6843,14
2025-05-12,2025-05-25 00:00:00,TEST,12,16296.00,5795,5437.350,72.93,21.344,20.782,-0.562,73.05,72.79,-0.255,483,15938,14
2025-06-09,2025-06-22 00:00:00,TEST,10,13646.00,2315,348.300,73.51,19.977,19.941,-0.036,74.10,74.86,0.762,232,11679,14
2025-06-16,2025-06-29 00:00:00,TEST,12,16467.00,3937,-377.325,73.49,19.857,19.896,0.039,73.36,73.73,0.369,328,12153,14
2025-07-07,2025-07-20 00:00:00,TEST,13,19755.00,7548,-2641.275,73.73,20.399,20.672,0.273,73.27,73.90,0.634,581,9566,14
2025-07-14,2025-07-27 00:00:00,TEST,12,17146.00,6275,-3618.450,74.37,20.512,20.886,0.374,74.02,73.73,-0.284,523,7253,14
2025-09-08,2025-09-21 00:00:00,TEST,10,17826,4934,-6337.125,75.01,20.911,21.566,0.655,75.41,75.99,0.585,493,6555,14
